노드ID,노드명,노드단축명,위도,경도,출발감지반경,도착감지반경,사용여부,데이터 기준일
2850013001,0,천안삼거리휴게소,36.78955177 ,127.17148850 ,30,30,1,2025-09-01
2850022701,0,입장휴게소,36.94557639 ,127.18933030 ,30,30,1,2025-09-01
3000017702,0,행담도휴게소,36.94299505 ,126.80875380 ,30,30,1,2025-09-01
3000017701,0,행담도휴게소,36.94279470 ,126.80944180 ,30,30,1,2025-09-01
2860026900,0,정안요금소,36.62153767 ,127.12232150 ,30,30,1,2025-09-01
3000017200,0,송악요금소,36.93486239 ,126.78578930 ,30,30,1,2025-09-01
3000016800,0,송악IC,36.93345839 ,126.78066040 ,30,30,1,2025-09-01
3000016700,0,송악IC,36.93321258 ,126.77708190 ,30,30,1,2025-09-01
3000011600,0,당진요금소,36.89566920 ,126.70150240 ,30,30,1,2025-09-01
3000011400,0,당진IC,36.89523251 ,126.71063510 ,30,30,1,2025-09-01
3000010800,0,당진IC,36.89393367 ,126.70428610 ,30,30,1,2025-09-01
2850022700,0,천안IC,36.83121652 ,127.17245550 ,30,30,1,2025-09-01
2850022300,0,천안요금소,36.82688705 ,127.16558080 ,30,30,1,2025-09-01
2850022000,0,천안IC,36.82655289 ,127.16683000 ,30,30,1,2025-09-01
2850021300,0,천안IC,36.82461067 ,127.16764300 ,30,30,1,2025-09-01
2850013000,0,천안JC,36.77500014 ,127.17754850 ,30,30,1,2025-09-01
2850011200,0,천안JC,36.76699855 ,127.18934900 ,30,30,1,2025-09-01
2850010700,0,천안JC,36.76484111 ,127.17750750 ,30,30,1,2025-09-01
2850008000,0,남천안IC,36.75728252 ,127.16570910 ,30,30,1,2025-09-01
2850007500,0,남천안IC,36.75289183 ,127.16641640 ,30,30,1,2025-09-01
2850006900,0,남천안IC,36.75087123 ,127.16437450 ,30,30,1,2025-09-01
2860027300,0,정안IC,36.62790430 ,127.12039830 ,30,30,1,2025-09-01
2860027100,0,정안IC,36.62449755 ,127.12218250 ,30,30,1,2025-09-01
2860027000,0,정안IC,36.62181061 ,127.12033500 ,30,30,1,2025-09-01
2850016300,0,남부오거리,36.79843780 ,127.15370340 ,30,30,1,2025-09-01
2850031700,0,대홍삼거리,36.94216698 ,127.15692460 ,30,30,1,2025-09-01
2850027900,0,매주사거리,36.91184773 ,127.19027150 ,30,30,1,2025-09-01
3000007700,0,신평농협오거리,36.88125745 ,126.77914730 ,30,30,1,2025-09-01
3000006600,0,신흥교차로,36.87827936 ,126.75237250 ,30,30,1,2025-09-01
2880010800,0,음봉삼거리,36.85056720 ,127.00999950 ,30,30,1,2025-09-01
2880010700,0,음봉삼거리,36.84990511 ,127.01335300 ,30,30,1,2025-09-01
2880009500,0,덕지삼거리,36.83794667 ,127.07467900 ,30,30,1,2025-09-01
2880009100,0,산동사거리,36.82979567 ,127.09412370 ,30,30,1,2025-09-01
2850020600,0,운동장사거리,36.82285030 ,127.11193620 ,30,30,1,2025-09-01
3000002400,0,동촌삼거리,36.81891677 ,126.79580170 ,30,30,1,2025-09-01
3000002300,0,우회도로삼거리,36.81722870 ,126.65917850 ,30,30,1,2025-09-01
3000002000,0,성상사거리,36.81522898 ,126.66679460 ,30,30,1,2025-09-01
2850019400,0,터미널 사거리,36.81899080 ,127.15824160 ,30,30,1,2025-09-01
2850018600,0,방죽안오거리,36.81868458 ,127.15222000 ,30,30,1,2025-09-01
3000001900,0,합덕삼거리,36.81425277 ,126.77402720 ,30,30,1,2025-09-01
3000001600,0,양조장네거리,36.81165173 ,126.78319250 ,30,30,1,2025-09-01
3000001300,0,합덕네거리,36.81047933 ,126.77605910 ,30,30,1,2025-09-01
2880007600,0,송곡사거리,36.79830167 ,127.00810730 ,30,30,1,2025-09-01
3000000200,0,서야삼거리,36.79265636 ,126.78907240 ,30,30,1,2025-09-01
2880007300,0,오목삼거리,36.79378477 ,126.93044990 ,30,30,1,2025-09-01
2880007200,0,박물관사거리,36.79057367 ,127.00736370 ,30,30,1,2025-09-01
2880007100,0,선장사거리,36.78895161 ,126.86711790 ,30,30,1,2025-09-01
2880006600,0,신정삼거리,36.78602398 ,126.98349190 ,30,30,1,2025-09-01
2880006500,0,아고오거리,36.78617195 ,127.00582950 ,30,30,1,2025-09-01
2880006300,0,방축동사거리,36.78478660 ,126.98925060 ,30,30,1,2025-09-01
2880005600,101,역전삼거리,36.78138000 ,127.00410000 ,30,30,1,2025-09-01
2880004900,0,동신사거리,36.77855145 ,127.01931100 ,30,30,1,2025-09-01
2880004400,0,읍내삼거리,36.77487548 ,126.93252250 ,30,30,1,2025-09-01
2880004200,0,풍기사거리,36.77489470 ,127.01303430 ,30,30,1,2025-09-01
2880002800,0,읍내사거리,36.75829217 ,127.01773500 ,30,30,1,2025-09-01
2880002500,0,시전삼거리,36.75527367 ,126.89941150 ,30,30,1,2025-09-01
2980010900,0,신암삼거리,36.74377558 ,126.82427780 ,30,30,1,2025-09-01
2880001400,0,신유삼거리,36.73660930 ,126.91742950 ,30,30,1,2025-09-01
2980009100,0,3,36.72573911 ,126.78490380 ,30,30,1,2025-09-01
2850004600,0,풍서삼거리,36.72837398 ,127.12036050 ,30,30,1,2025-09-01
2850003700,0,풍서사거리,36.72087808 ,127.12023390 ,30,30,1,2025-09-01
2980006400,0,발연삼거리,36.69863830 ,126.82906620 ,30,30,1,2025-09-01
2980005600,0,한마음농원앞사거리,36.68742995 ,126.78395850 ,30,30,1,2025-09-01
2980005000,0,오가사거리,36.68489936 ,126.80731340 ,30,30,1,2025-09-01
2980004000,0,동촌삼거리,36.67653480 ,126.90223300 ,30,30,1,2025-09-01
2860026000,0,광정삼거리,36.61184339 ,127.12181470 ,30,30,1,2025-09-01
2860024200,0,부곡 삼거리,36.57838677 ,127.01785800 ,30,30,1,2025-09-01
2860023600,0,운암 삼거리,36.56080827 ,127.02099240 ,30,30,1,2025-09-01
2850000300,0,곡두터널,36.65764392 ,127.04166190 ,30,30,1,2025-09-01
2860028200,0,곡두터널,36.65129226 ,127.03980140 ,30,30,1,2025-09-01
2860032500,0,광정교차로,36.61475277 ,127.12390950 ,30,30,1,2025-09-01
2881883800,0,읍내교종점,36.78513096 ,126.93783740 ,30,30,1,2025-09-01
2881856291,0,,36.80345576 ,126.93544000 ,30,30,1,2025-09-01
2880007990,0,,36.80390970 ,126.86706810 ,30,30,1,2025-09-01
2881818191,0,,36.76891515 ,126.98273450 ,30,30,1,2025-09-01
2881801092,0,,36.76950655 ,126.93754620 ,30,30,1,2025-09-01
2881812693,0,,36.77005439 ,126.88315910 ,30,30,1,2025-09-01
2850210400,0,,36.79509796 ,127.09811000 ,30,30,1,2025-09-01
2850212500,0,,36.80039496 ,127.09976800 ,30,30,1,2025-09-01
2140042400,0,없음,36.98850770 ,126.97469450 ,30,30,1,2025-09-01
2881873500,0,,36.89027015 ,127.07093770 ,30,30,1,2025-09-01
2881877400,0,(블랙타운),36.92741550 ,127.03784510 ,30,30,1,2025-09-01
2881872300,0,,36.88630726 ,126.91631470 ,30,30,1,2025-09-01
2881857800,0,,36.80858701 ,126.92597220 ,30,30,1,2025-09-01
2850054500,0,구곡교,36.79116671 ,127.16311370 ,30,30,1,2025-09-01
2860022900,0,,36.55570492 ,126.95432590 ,30,30,1,2025-09-01
2860021900,0,,36.54492308 ,126.94932260 ,30,30,1,2025-09-01
2860028500,0,,36.65347130 ,127.04043960 ,30,30,1,2025-09-01
3000017300,0,송악IC,36.93672748 ,126.78155320 ,30,30,1,2025-09-01
3000009800,0,당진IC,36.89088802 ,126.70402270 ,30,30,1,2025-09-01
288010461,1,온양온천역사,36.78049000 ,127.00350000 ,30,30,1,2025-09-01
288010462,1,벽산아파트,36.78886000 ,126.98900000 ,30,30,1,2025-09-01
288010463,1,실옥3통 건너,36.79017000 ,126.98860000 ,30,30,1,2025-09-01
288010464,1,실옥3통,36.79025000 ,126.98870000 ,30,30,1,2025-09-01
288010465,1,선창1리입구,36.78937590 ,126.87021500 ,30,30,1,2025-09-01
288010466,1,선창1리입구,36.78934030 ,126.87029930 ,30,30,1,2025-09-01
288010467,1,온양농협경제센터,36.75356530 ,127.00657440 ,30,30,1,2025-09-01
288010469,1,모종주공아파트,36.78437400 ,127.01871620 ,30,30,1,2025-09-01
288010470,1,한성아파트2차,36.78448960 ,127.01988330 ,30,30,0,2025-09-01
2881891190,0,,36.70810170 ,126.97241010 ,30,30,1,2025-09-01
288010471,1,신인1통 입구,36.75174000 ,126.98120000 ,30,30,1,2025-09-01
288010472,1,경찰대학교,36.75225450 ,126.95669990 ,30,30,1,2025-09-01
288010473,1,기산2통입구,36.75286000 ,126.96070000 ,30,30,1,2025-09-01
288010474,1,기산2통 마을회관,36.74841000 ,126.96090000 ,30,30,1,2025-09-01
288010475,1,성미마을입구,36.75231710 ,126.96855740 ,30,30,1,2025-09-01
2881891290,0,,36.75532440 ,127.03256550 ,30,30,,2025-09-01
2881891690,0,,36.85755730 ,126.90879750 ,30,30,,2025-09-01
2881891790,0,,36.84857580 ,126.97907600 ,30,30,,2025-09-01
2881891890,0,,36.74910050 ,126.88925960 ,30,30,,2025-09-01
2881891990,0,,36.75000530 ,126.88990780 ,30,30,,2025-09-01
2881892090,0,,36.74974370 ,126.88899690 ,30,30,,2025-09-01
2881892190,0,,36.78373530 ,127.09798890 ,30,30,,2025-09-01
288010476,1,도고온천역 건너,36.74987000 ,126.88950000 ,30,30,1,2025-09-01
2881892290,0,,36.80602490 ,127.02150110 ,30,30,1,2025-09-01
2881892390,0,,36.78278680 ,127.09447140 ,30,30,,2025-09-01
2881892490,0,,36.78234610 ,127.09476740 ,30,30,0,2025-09-01
288010477,1,탕정우체국,36.79743560 ,127.04817860 ,30,30,1,2025-09-01
288010478,1,배방석유,36.76140000 ,127.06720000 ,30,30,1,2025-09-01
288010479,1,죽산리난고개 건너,36.78911160 ,126.90593000 ,30,30,1,2025-09-01
288010480,1,창암2리,36.76066000 ,126.96490000 ,30,30,1,2025-09-01
285000165,1,쌍용동일A,36.78480000 ,127.11328000 ,30,30,1,2025-09-01
2850012238,0,,36.80110678 ,127.02056710 ,30,30,1,2025-09-01
2850012236,0,,36.80496518 ,127.03010240 ,30,30,1,2025-09-01
285010014,1,종합터미널,36.81875000 ,127.15667000 ,30,30,1,2025-09-01
285010125,1,종합터미널,36.81872000 ,127.15602000 ,30,30,1,2025-09-01
2850189400,0,관성리3길,36.81716966 ,127.34097920 ,30,30,1,2025-09-01
