"facility_id","name","category","nearest_node_id","address","lat","lng"
"F00056","신존떡볶이퍼스트","음식점","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00057","쌍팔반점","음식점","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00058","이태리면가게","음식점","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00059","좋은음식차반","음식점","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00060","한옥마을전주비빔퍼스트","음식점","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00061","호미탐아산","음식점","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00062","히노아지둔포퍼스트","음식점","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00063","차이카페퍼스트","카페","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00064","퍼스트빌리지카페","카페","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00065","헤븐","카페","ST001","충청남도 아산시 둔포면 해위안길 127","36.896813","127.029058"
"F00066","입장커피&빵","카페","ST001","충청남도 천안시 서북구 입장면 성진로 874","36.915144","127.227380"
"F00067","일미식당","음식점","ST001","충청남도 아산시 둔포면 봉신로 104-3","36.880789","127.039259"
"F00068","김할매소머리곰탕","음식점","ST001","충청남도 천안시 서북구 입장면 입장로 254","36.923727","127.224645"
"F00069","아지트","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장2길 26","36.914643","127.225022"
"F00070","만리장성","음식점","ST001","충청남도 천안시 서북구 입장면 성진로 852","36.915383","127.224890"
"F00071","오감탕","음식점","ST001","충청남도 천안시 서북구 입장면 성진로 846","36.915275","127.224530"
"F00072","통영바다장어구이","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장3길 7","36.914898","127.224069"
"F00073","유리떡방앗간","음식점","ST001","충청남도 천안시 서북구 입장면 성진로 842","36.915321","127.224014"
"F00074","성지가든","음식점","ST001","충청남도 천안시 서북구 입장면 입장로 233-4","36.921981","127.223585"
"F00075","입장놀이터","PC방","ST001","충청남도 천안시 서북구 입장면 입장시장1길 25","36.914303","127.223877"
"F00076","성원커피호프","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장3길 8","36.914835","127.223811"
"F00077","마실","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장3길 6","36.915015","127.223677"
"F00078","명가낙지마당","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장3길 6","36.915015","127.223677"
"F00079","어서와","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장3길 6","36.915015","127.223677"
"F00080","시장길포차","카페","ST001","충청남도 천안시 서북구 입장면 입장시장3길 6","36.915015","127.223677"
"F00081","입장먹쇠","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장2길 14","36.914484","127.223619"
"F00082","돼지먹어도돼지","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장2길 13","36.914700","127.223508"
"F00083","성미네","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장3길 8-3","36.914781","127.223497"
"F00084","빵순포차","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장3길 4-3","36.914998","127.223419"
"F00085","정원칼국수","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장3길 4-3","36.914998","127.223419"
"F00086","옛날길상통닭","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장3길 8-5","36.914746","127.223362"
"F00087","베로니카","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장2길 12","36.914466","127.223350"
"F00088","놀아줘","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장3길 4-8","36.915007","127.223318"
"F00089","육식주의축산","음식점","ST001","충청남도 천안시 서북구 입장면 성진로 836","36.915268","127.223262"
"F00090","고깃집","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장3길 9-2","36.914638","127.223238"
"F00091","쿠아쑥싸이마트","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장3길 8-7","36.914737","127.223205"
"F00092","이디야천안입장점","카페","ST001","충청남도 천안시 서북구 입장면 성진로 834","36.915197","127.223094"
"F00093","백운동해매운탕","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장2길 8-1","36.914395","127.223080"
"F00094","수다실","카페","ST001","충청남도 천안시 서북구 입장면 입장시장2길 9","36.914602","127.223036"
"F00095","마돈나","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장3길 8-9","36.914692","127.223025"
"F00096","피자나라치킨공주","음식점","ST001","충청남도 천안시 서북구 입장면 성진로 832-1","36.915170","127.222925"
"F00097","돈이네삼겹살","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장2길 7","36.914575","127.222912"
"F00098","큰세계야식포차","음식점","ST001","충청남도 천안시 서북구 입장면 성진로 832-4","36.914900","127.222790"
"F00099","비에이치씨천안입장점","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장2길 6-2","36.914350","127.222743"
"F00100","만물치킨","음식점","ST001","충청남도 천안시 서북구 입장면 성진로 832-8","36.914801","127.222677"
"F00101","김밥사랑","음식점","ST001","충청남도 천안시 서북구 입장면 성진로 830","36.915125","127.222678"
"F00102","거봉다방","카페","ST001","충청남도 천안시 서북구 입장면 성진로 830","36.915125","127.222678"
"F00103","지에스25입장","편의점","ST001","충청남도 천안시 서북구 입장면 성진로 830","36.915125","127.222678"
"F00104","오공삼겹살","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장2길 5","36.914531","127.222553"
"F00105","주전부리옛날과자","음식점","ST001","충청남도 천안시 서북구 입장면 입장로 158","36.915036","127.222543"
"F00106","그때그시절","음식점","ST001","충청남도 천안시 서북구 입장면 입장로 156","36.914927","127.222532"
"F00107","입장에서먹자","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장2길 4","36.914279","127.222508"
"F00108","입장참숯화로구이","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장2길 4","36.914279","127.222508"
"F00109","화성다방","카페","ST001","충청남도 천안시 서북구 입장면 입장시장2길 4","36.914279","127.222508"
"F00110","새참생각","음식점","ST001","충청남도 천안시 서북구 입장면 입장로 167","36.916063","127.222490"
"F00111","치킨스타일","음식점","ST001","충청남도 천안시 서북구 입장면 입장로 167","36.916063","127.222490"
"F00112","입짱손맛","음식점","ST001","충청남도 천안시 서북구 입장면 입장천변1길 2","36.915748","127.222489"
"F00113","이마트24아산송용점","편의점","ST001","충청남도 아산시 둔포면 윤보선로 652-78","36.921583","127.031828"
"F00114","부산아구찜","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장2길 3","36.914486","127.222452"
"F00115","술먹기좋은날","음식점","ST001","충청남도 천안시 서북구 입장면 입장시장2길 3","36.914486","127.222452"
"F00116","입장포차","음식점","ST001","충청남도 천안시 서북구 입장면 입장로 150","36.914549","127.222396"
"F00117","샬레","음식점","ST001","충청남도 천안시 서북구 입장면 입장로 157","36.915090","127.222364"
"F00118","대박커피호프","카페","ST001","충청남도 천안시 서북구 입장면 입장시장2길 2","36.914270","127.222339"
"F00119","미래네","음식점","ST001","충청남도 아산시 둔포면 관대길 37","36.902606","127.033133"
"F00120","부라크케밥","음식점","ST001","충청남도 천안시 서북구 입장면 입장로 144-1","36.913856","127.222271"
"F00121","이락푸드시스템","음식점","ST001","충청남도 천안시 서북구 입장면 입장로 249","36.924769","127.221618"
"F00122","자매삼계탕","음식점","ST001","충청남도 천안시 서북구 입장면 입장로 171","36.916307","127.222278"
"F00123","그집앞","음식점","ST001","충청남도 천안시 서북구 입장면 입장로 146","36.914108","127.222249"
"F00124","비비큐한마리반","음식점","ST001","충청남도 천안시 서북구 입장면 입장로 146","36.914108","127.222249"
"F00125","한잔더마시까","음식점","ST001","충청남도 천안시 서북구 입장면 입장로 146","36.914108","127.222249"
"F00126","햇살머믄꼬마김밥","음식점","ST001","충청남도 천안시 서북구 입장면 입장로 144","36.913937","127.222237"
"F00127","부대통닭","음식점","ST001","충청남도 천안시 서북구 입장면 입장로 151","36.914784","127.222217"
"F00128","전주일미집","음식점","ST001","충청남도 아산시 둔포면 관대길 45","36.903020","127.033223"
"F00129","세븐일레븐천안입장","편의점","ST001","충청남도 천안시 서북구 입장면 입장로 149-1","36.914640","127.222127"
"F00130","빽다방천안입장점","카페","ST001","충청남도 천안시 서북구 입장면 하장4길 2","36.914433","127.222026"
"F00131","숯불직화꼬치","음식점","ST001","충청남도 천안시 서북구 입장면 입장로 145","36.914154","127.221980"
"F00132","팔팔찌개백반","음식점","ST001","충청남도 천안시 서북구 입장면 하장4길 4-2","36.914514","127.221925"
"F00133","김밥나라","음식점","ST001","충청남도 천안시 서북구 입장면 하장4길 1","36.914244","127.221902"
"F00134","인생술집","카페","ST001","충청남도 천안시 서북구 입장면 하장4길 1","36.914244","127.221902"
"F00135","대덕뉴큰집","음식점","ST001","충청남도 아산시 둔포면 관대길 83-12","36.906787","127.032776"
"F00136","청화대한식뷔페","음식점","ST001","충청남도 아산시 둔포면 관대길 83-12","36.906787","127.032776"
"F00137","세븐일레븐아산둔포관대점","편의점","ST001","충청남도 아산시 둔포면 관대길 83-12","36.906787","127.032776"
"F00138","타타스베이글입장멜버른커피점","카페","ST001","충청남도 천안시 서북구 입장면 입장천변1길 6","36.915577","127.221905"
"F00139","신세계약국","약국","ST001","충청남도 아산시 둔포면 충무로 1396","36.890370","127.037737"
"F00140","번영식당","음식점","ST001","충청남도 아산시 둔포면 충무로 1392","36.896838","127.035307"
"F00141","신바람빵.만두와바람난치킨","음식점","ST001","충청남도 아산시 둔포면 충무로 1392","36.896838","127.035307"
"F00142","이마트24천안한창이지엠점","편의점","ST001","충청남도 천안시 서북구 입장면 입장로 247","36.923454","127.221244"
"F00143","부어라마셔라","음식점","ST001","충청남도 천안시 서북구 입장면 하장4길 6","36.914487","127.221723"
