"stop_id","stop_name","lat","lng","district"
"2850022000","천안IC","36.82655289","127.16683000",""
"2850021300","천안IC","36.82461067","127.16764300",""
"2850013000","천안JC","36.77500014","127.17754850",""
"2850011200","천안JC","36.76699855","127.18934900",""
"2850010700","천안JC","36.76484111","127.17750750",""
"2850008000","남천안IC","36.75728252","127.16570910",""
"2850007500","남천안IC","36.75289183","127.16641640",""
"2850006900","남천안IC","36.75087123","127.16437450",""
"2860027300","정안IC","36.62790430","127.12039830",""
"2860027100","정안IC","36.62449755","127.12218250",""
"2860027000","정안IC","36.62181061","127.12033500",""
"2850016300","남부오거리","36.79843780","127.15370340",""
"2850031700","대홍삼거리","36.94216698","127.15692460",""
"2850027900","매주사거리","36.91184773","127.19027150",""
"3000007700","신평농협오거리","36.88125745","126.77914730",""
"3000006600","신흥교차로","36.87827936","126.75237250",""
"2880010800","음봉삼거리","36.85056720","127.00999950",""
"2880010700","음봉삼거리","36.84990511","127.01335300",""
"2880009500","덕지삼거리","36.83794667","127.07467900",""
"2880009100","산동사거리","36.82979567","127.09412370",""
"2850020600","운동장사거리","36.82285030","127.11193620",""
"3000002400","동촌삼거리","36.81891677","126.79580170",""
"3000002300","우회도로삼거리","36.81722870","126.65917850",""
"3000002000","성상사거리","36.81522898","126.66679460",""
"2850019400","터미널 사거리","36.81899080","127.15824160",""
"2850018600","방죽안오거리","36.81868458","127.15222000",""
"3000001900","합덕삼거리","36.81425277","126.77402720",""
"3000001600","양조장네거리","36.81165173","126.78319250",""
"3000001300","합덕네거리","36.81047933","126.77605910",""
"2880007600","송곡사거리","36.79830167","127.00810730",""
"3000000200","서야삼거리","36.79265636","126.78907240",""
"2880007300","오목삼거리","36.79378477","126.93044990",""
"2880007200","박물관사거리","36.79057367","127.00736370",""
"2880007100","선장사거리","36.78895161","126.86711790",""
"2880006600","신정삼거리","36.78602398","126.98349190",""
"2880006500","아고오거리","36.78617195","127.00582950",""
"2880006300","방축동사거리","36.78478660","126.98925060",""
"2880005600","역전삼거리","36.78138000","127.00410000",""
"2880004900","동신사거리","36.77855145","127.01931100",""
"2880004400","읍내삼거리","36.77487548","126.93252250",""
"2880004200","풍기사거리","36.77489470","127.01303430",""
"2880002800","읍내사거리","36.75829217","127.01773500",""
"2880002500","시전삼거리","36.75527367","126.89941150",""
"2980010900","신암삼거리","36.74377558","126.82427780",""
